role;project;start_date;end_date;details
"Leader of work package on statistical modeling";"Does sleep duration affect the brain? (PI: Anders M Fjell)";2022;2026;"ES682301, Project number: 325878, Funder: The Research Council of Norway. NOK 12,000,000."
"Leader of work package on longitudinal modeling";"Exploring the Causal Effects of Immune Responses to Cognitive and Mental Health - Integrating Large-scale Genomics with Longitudinal Studies (PI: Yunpeng Wang)";2020;2024;"ES659918, Project number: 302854, Funder: FRIPRO Young research talents, The Research Council of Norway. NOK 8,000,000."
